unixtime,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,,lat,lon,alt,pm1,pm25,pm4,pm10,rh,t,voc,nox,2pm25,2pm10
1747492201,30728.8,1376.9,300,73.1,3.8,0,,0,0,0,4.6,4.8,4.8,4.8,36,24.4,28,1,3,5
1747492801,30136.5,1338.5,319.2,82.7,0,0,,0,0,0,5.3,5.6,5.6,5.6,36,24.3,30,1,3,5
1747493401,29853.8,1303.8,238.5,67.3,3.8,0,,0,0,0,5.6,5.9,5.9,5.9,36,24.4,28,1,2,4
1747494002,30051.9,1330.8,261.5,53.8,3.8,0,,0,0,0,4.8,5.1,5.1,5.1,35.9,24.4,31,1,2,4
1747494601,28888.5,1209.6,246.2,76.9,1.9,0,,0,0,0,4.4,4.6,4.6,4.6,35.9,24.4,31,1,2,4
1747495201,28178.8,1232.7,280.8,69.2,1.9,0,,0,0,0,4.4,4.6,4.6,4.6,35.9,24.4,28,1,2,4
1747495801,27878.8,1267.3,305.8,55.8,1.9,0,,0,0,0,5.2,5.4,5.4,5.4,35.8,24.4,30,1,2,4
1747496401,27801.9,1315.4,250,48.1,0,0,,0,0,0,4.5,4.7,4.7,4.7,35.8,24.3,30,1,2,4
1747497001,27492.3,1098.1,225,73.1,0,0,,0,0,0,4.3,4.5,4.5,4.5,35.8,24.4,29,1,2,4
1747497601,26861.5,1255.8,244.2,80.8,3.8,0,,0,0,0,3.8,4.5,4.9,5.1,35.7,24.4,29,1,2,4
1747498201,26384.6,1276.9,225,65.4,3.8,1.9,,0,0,0,4.1,4.3,4.3,4.3,35.7,24.3,30,1,2,4
1747498801,25823.1,1146.2,280.8,55.8,1.9,0,,0,0,0,4.2,4.4,4.4,4.4,35.6,24.3,30,1,2,4
1747499401,24957.7,1109.6,261.5,44.2,1.9,0,,0,0,0,4,4.1,4.1,4.1,35.6,24.3,32,1,4,6
1747500001,25109.6,1107.7,211.5,73.1,0,0,,0,0,0,4.6,5.3,5.7,5.9,35.5,24.3,30,1,2,4
1747500601,23632.7,1088.5,234.6,42.3,3.8,3.8,,0,0,0,4.1,4.6,4.8,4.9,35.5,24.3,30,1,2,4
